usuario,senha
alice.ventura,P@ssw0rd!2023
bruno.marques,Seguranca#456
carla.santos,D3v!ceProtect
diego.oliveira,F1r3w@ll2024
elisa.ribeiro,Blu3Sk!es99
fabio.costa,MoonLight*123
gabriela.moura,SunSet!2023
heitor.almeida,R@inbow7Days
isabela.fernandes,St@rGazer42
joao.silva,MountainTop!
karen.lima,OceanW@ve2024
leonardo.pereira,ThunderB0lt!
marina.rocha,SilentForest#
nathan.carvalho,DesertWind$99
olivia.mendes,CrystalLake*
pedro.henrique,Volcano!2023
quenia.nascimento,AuroraB0realis
rafael.martins,GalaxyFarAway
sophia.barros,QuantumLeap@
thiago.ramos,Eclipse2024!
ursula.duarte,NorthernLights
vinicius.castro,MilkyWay#123
wanda.souza,CometTail!2024
xavier.lopes,BlackH0le@42
yara.moreira,SuperNova*99
zeca.pagodinho,SambaNoPe!2023
amanda.cruz,TropicalBreeze#
bernardo.reis,JungleBook2024
camila.veiga,AmazonRiver*
daniel.freitas,PantanalWild!
elaine.machado,IguaçuFalls@
felipe.gomes,Copacabana123
giovanna.brito,SelvaVerde#
helena.chaves,Cerrado2024!
igor.porto,MataAtlantica*
juliana.assis,CaatingaDesert
kaique.moraes,PampasGauchos
larissa.pinto,SerraDoMar2023
marcos.antonio,ChapadaDiamantina
natalia.queiroz,LencoisMaranhenses
oswaldo.neto,BonitoMS2024!
paula.regis,FernandoNoronha#
quirino.santana,Jericoacoara*
renata.fialho,PortoGalinhas
sergio.bispo,Maragogi2023!
talita.arruda,BuziosBeach#
ulisses.monteiro,ArraialDoCabo
valeria.paiva,ItacareWave*
wellington.dias,MorroSP2024
xenia.ferraz,ParatyHistoric
yago.menezes,OuroPretoMG#
zuleica.brasil,Tiradentes2023
adriano.fonseca,SalvadorBA!
beatriz.guedes,Pelourinho2024
cesar.augusto,RecifeAntigo*
diana.prates,OlindaCarnival
eduardo.nogueira,FortalezaSun#
flavia.esteves,ManausForest2023
gustavo.medeiros,BelemDoPara*
heloisa.vasconcelos,SaoLuisMA2024
ivan.ribeiro,TeresinaHeat!
jessica.campos,NatalRNBeach
kleber.araujo,JoaoPessoaPB#
lorena.brandao,MaceioAL2023
mauro.junqueira,AracajuSE*
nadia.quadros,PalmasTO2024
otavio.correia,CuiabaMTHeat!
patricia.mello,CampoGrandeMS#
quezia.freire,PortoVelhoRO2023
romulo.goncalves,RioBrancoAC*
sabrina.lemos,MacapaAP2024
tadeu.andrade,BoaVistaRR!
vanessa.pinheiro,ManicoreAM2023
wagner.batista,HumaitaAM*
xisto.galvao,CoariAM2024
yasmine.cortes,ParintinsAM!
zezim.pereira,BoiBumba2023
alana.torres,FestJunina#
bruno.cesar,Quadrilha2024
clara.dorneles,PamonhaDoce*
davi.lucchese,MilhoVerde2023
ester.bispo,CanjicaQuente#
francisco.matos,CachacaGood!
geisa.amaral,Rapadura2024
hugo.barreto,MandiocaFrita*
ines.cavalcante,AcarajeBaiano
jairo.montenegro,VatapaCream#
leila.portela,Caruru2023
miguel.assis,MoquecaFish*
noemia.sales,BobóCamarão2024
orlando.ribeiro,FeijoadaComplete!
priscila.mendes,FarofaEgg#
quiteria.oliveira,CouveMinced2023
rogerio.santana,LaranjaSlice*
sheila.castro,Cachaça512024
tomas.eduardo,CaipirinhaBest!
ubirajara.firmino,GuaranaAntarctica
vitoria.lemos,AçaíBowl2023
walter.silveira,CupuaçuCream*
xenia.brito,Bacuri2024!
yuri.martins,TucumãFruit#
zilda.carvalho,BuritiPalm2023
arthur.nobre,CastanhaPara*
bianca.rolim,PequiFruit2024
carlos.magno,BrazilNut!
denise.camara,JackfruitBig*
elias.procopio,Jabuticaba2023
fatima.azevedo,UmbuFruit#
gilberto.malta,CajuJuice2024
hilda.pimentel,SiriguelaFruit*
iracema.siqueira,CajáManga2023
jorge.luis,Taperebá2024!
kelly.monteiro,GraviolaSour#
luciano.barbosa,AtemoyaFruit*
marcia.ribeiro,PitayaPink2023
nelson.dantas,MangabaYellow#
osmarina.ferreira,GenipapoBlue*
paulo.gilberto,Bacaba2024!
queila.matos,PatauáPalm2023
rubens.oliveira,MuriciBerry#
sandra.machado,AcerolaRed2024
teotonio.vilela,GuavaPink*
ursula.pereira,PassionFruit2023
valter.bianchi,StarFruitGreen#
wilson.batista,PersimmonOrange*
xandra.costa,PineappleSweet2023
yvan.porto,WatermelonRed#
zacarias.moura,MelonYellow2024
adalberto.junior,PapayaOrange*
bernadete.sales,AvocadoGreen2023
cicero.meira,DragonFruitPink#
djalma.santos,RambutanHairy*
elaine.cristina,LonganBerry2023
fabiana.moraes,LycheeRed2024
geraldo.bastos,DurianKing*
helio.freitas,SoursopGreen2023
iris.ramalho,BreadFruitBig#
joelma.silva,Cherimoya2024*
kleiton.rodrigues,MonsteraFruit2023
luana.cavalcante,SalakSnake#
marcelo.hugo,MangosteenPurple*
nilda.pereira,Langsat2024
osvaldo.cruz,SantolFruit2023
perla.arruda,SapodillaBrown#
quincas.borba,SapoteBlack2023
rosana.borges,NanceYellow*
silmara.reis,Genipa2024
tarcisio.meireles,ImbuFruit2023
ubiratan.costa,JenipapoBlue#
vania.salles,Marmeleiro2024*
wanda.maria,Araticum2023
xavier.gomes,MaroloFruit#
yara.benevides,PequiSpicy2023
zoroastro.veiga,BuritiOrange*
adelaide.nascimento,TucumãRed2024
balbino.carvalho,BacabaPurple#
celina.porto,PatauáOil2023
delfim.oliveira,MuriciYellow*
evaristo.mendes,Acerola2024
firmina.ramos,Guava2023#
graciliano.lins,Passion2024*
herminia.braga,StarFruit2023
inacio.fialho,Persimmon2024#
jucelia.monteiro,Pineapple2023
leandro.bispo,Watermelon2024*
madalena.chaves,Melon2023
norberto.almeida,Papaya2024#
odete.fernandes,Avocado2023
plinio.araujo,DragonFruit2024*
quintino.barreto,Rambutan2023
raimunda.gomes,Longan2024#
sebastiao.martins,Lychee2023
terezinha.pereira,Durian2024*
ulysses.castro,Soursop2023
veridiana.moura,BreadFruit2024#
washington.lima,Cherimoya2023
xisto.mendes,Monstera2024*
yolanda.assis,Salak2023
zeferino.nogueira,Mangosteen2024#
ambrosio.ribeiro,Langsat2023
belmira.santana,Santol2024*
cassiano.freire,Sapodilla2023
doralice.campos,Sapote2024#
eurico.goncalves,Nance2023
florinda.lemos,Genipa2024*
gervasio.andrade,Imbu2023
hilario.pinheiro,Jenipapo2024#
iolanda.batista,Marmeleiro2023
jacinto.galvao,Araticum2024*
